group,variate,origin,n_variates,mean_abs_corr,mase_joint,mase_single
ds-1558-5T,v004,2435,8,0.198,0.656991451933132,0.6574877162478677
ds-1558-5T,v005,2435,8,0.198,0.057438976323433616,1.0222615608596712
ds-1558-5T,v006,2435,8,0.198,0.14497787087552666,0.16720398092211283
ds-1558-5T,v007,2435,8,0.198,0.6708143263861767,0.618162966495436
ds-1558-5T,v008,2435,8,0.198,0.5789560717740949,0.5848363081899846
ds-1558-5T,v000,2822,8,0.198,0.01101878622199792,0.012969203882558877
ds-1558-5T,v002,2822,8,0.198,0.3409542399077903,0.3439964289981173
ds-1558-5T,v003,2822,8,0.198,0.6370524733466291,0.591211877695819
ds-1558-5T,v004,2822,8,0.198,1.650595432038197,0.6967175575497417
ds-1558-5T,v005,2822,8,0.198,0.18305173405841937,0.2296915220695936
ds-1558-5T,v006,2822,8,0.198,0.6415647672565624,0.6645209816357873
ds-1558-5T,v007,2822,8,0.198,0.7152658817464992,0.7116287617509957
ds-1558-5T,v008,2822,8,0.198,0.5475187968065718,0.47726340632599074
ds-1558-5T,v000,3209,8,0.198,0.046726800176792725,0.04974662963061419
ds-1558-5T,v002,3209,8,0.198,1.1712854388663447,1.0867415987006162
ds-1558-5T,v003,3209,8,0.198,0.30194733568704624,0.2860841397723176
ds-1558-5T,v004,3209,8,0.198,1.1380034755337713,1.1212398290238033
ds-1558-5T,v005,3209,8,0.198,0.564117671607063,0.5794879218393495
ds-1558-5T,v006,3209,8,0.198,0.32768036535005257,0.3400376969866812
ds-1558-5T,v007,3209,8,0.198,0.6173673750280014,0.6475243962531061
ds-1558-5T,v008,3209,8,0.198,0.3392286302433305,0.3259408570340242
ds-1558-5T,v000,3596,8,0.198,0.17498891363991556,0.17285122654944057
ds-1558-5T,v002,3596,8,0.198,1.1021218798047026,1.0952992803343022
ds-1558-5T,v003,3596,8,0.198,0.4021889784675376,0.36866601237151064
ds-1558-5T,v004,3596,8,0.198,0.9762668735782349,1.0308437692439805
ds-1558-5T,v005,3596,8,0.198,0.4555410632436083,0.4547895169441589
ds-1558-5T,v006,3596,8,0.198,0.34915149466140966,0.3376845962869434
ds-1558-5T,v007,3596,8,0.198,0.7848451505772222,0.7390441430641149
ds-1558-5T,v008,3596,8,0.198,0.6215325390589369,0.6121748680776198
ds-1558-5T,v000,3983,8,0.198,0.14594555079438115,0.1601420532573593
ds-1558-5T,v002,3983,8,0.198,0.5717309133569076,0.5446187334183376
ds-1558-5T,v003,3983,8,0.198,0.2861841844247039,0.2875950118282502
ds-1558-5T,v004,3983,8,0.198,0.6304383878598232,0.626679248669028
ds-1558-5T,v005,3983,8,0.198,0.2768990085059695,0.36835035891607876
ds-1558-5T,v006,3983,8,0.198,0.21954992917755398,0.22171614565896558
ds-1558-5T,v007,3983,8,0.198,0.6957084327442544,0.7527821674260837
ds-1558-5T,v008,3983,8,0.198,1.0561400091628257,1.016309120580087
ds-2-5T,v000,2048,8,0.43,0.12152570871353054,0.1014838154147195
ds-2-5T,v001,2048,8,0.43,0.033320991011915484,0.036902792280485396
ds-2-5T,v003,2048,8,0.43,0.19902142695076055,0.25320634555601823
ds-2-5T,v005,2048,8,0.43,0.0168584539737403,0.003547372866173922
ds-2-5T,v006,2048,8,0.43,0.23350465954277722,0.2940831173889996
ds-2-5T,v008,2048,8,0.43,0.017145302421812163,0.00378903995070205
ds-2-5T,v009,2048,8,0.43,0.01603952623822602,0.010305376965570991
ds-2-5T,v011,2048,8,0.43,0.0522647873357616,0.055522581826662795
ds-2-5T,v000,2435,8,0.43,0.8097795251816923,0.8122195243585114
